微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
MBowIfmlV,拼多多百亿补贴 春季大促 X  数码家电消费季，双重活动来袭！狂撒最高320券包！消费季全网低价，正品发票，iPhone14补贴价跌破5000，天天都是618！拼多多搜索【11223】或点 网页链接 一键领券！( 4月10日，22:00后可领！）苹果专场：网页链接iPhone14 Pro，最高直降2060...全文 [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/a66d0169ly8hcuzzcp6z6j20m80m8jt5.jpg,http://ww2.sinaimg.cn/large/a66d0169ly8hcuzzcxktxj20e40e5jtz.jpg,http://ww4.sinaimg.cn/large/a66d0169ly8hcuzzd9lorj20m80m8qb7.jpg,http://ww2.sinaimg.cn/large/a66d0169ly8hcuzzdofvaj20dw0dwq4u.jpg,http://ww2.sinaimg.cn/large/a66d0169ly8hcuzzdz1q3j20dw0dw77i.jpg,http://ww4.sinaimg.cn/large/a66d0169ly8hcuzze8ndhj20ku0kujvu.jpg,http://ww2.sinaimg.cn/large/a66d0169ly8hcuzzekc4wj20m80m87a1.jpg,http://ww3.sinaimg.cn/large/a66d0169ly8hcuzzex7q8j20l80l80yh.jpg,http://ww3.sinaimg.cn/large/a66d0169ly8hcuzzf7gfrj20e40e4767.jpg",无,无,2023-04-10 23:45,微博  weibo.com,359,112,249
MBo7DzLdD,"太上老君安慰五行山下闷闷不乐的孙行者:""想peach呢？""——@你他娘的还真是个天才  ",,无,无,无,2023-04-10 22:43,橘色pop子HarmonyOS设备,275,5,14
MBnqt4bPQ,路过一家农户院子里鸡飞狗跳鸭却无声——@这个名太没意思了  ,,无,无,无,2023-04-10 20:57,橘色pop子HarmonyOS设备,574,25,32
MBn9TBiOn,乒乓少年一言不发原来是因为堵脖。——@一秒钟哲学家  ,,无,无,无,2023-04-10 20:16,橘色pop子HarmonyOS设备,596,14,26
MBmgbzNsu,出锅啦！出锅啦！我查到临时工考核分数啦！——@我仍未知道那天所调戏妹子的名字  ,,无,无,无,2023-04-10 17:58,橘色pop子HarmonyOS设备,170,3,16
MBm6WDk0v,耳朵是谁发明的？用来卡烟正好——@炒盘干煸藕丝  ,,无,无,无,2023-04-10 17:36,橘色pop子HarmonyOS设备,587,12,58
MBlG5xvWD,大前提：笑话能让懂行的人笑。小前提：我的论文能让导师笑。结论：我的论文是个笑话。——@山气日夕__流响出疏__  ,,无,无,无,2023-04-10 16:30,橘色pop子HarmonyOS设备,1523,56,64
MBl5KaxJZ,我像你这么大时，孩子都像你这么大了。——@凍結official  ,,无,无,无,2023-04-10 15:00,橘色pop子HarmonyOS设备,1041,25,42
MBjDF1zOi,我从来都不吃土卫六上的海产品，因为土星味太重了。——@白芽烏椹的小號  已,,无,无,无,2023-04-10 11:18,橘色pop子HarmonyOS设备,331,9,21
MBjmf0bHp,乒乓球馆球拍失窃原来是有贱人偷拍——@散木摇光  ,,无,无,无,2023-04-10 10:35,橘色pop子HarmonyOS设备,641,18,30
MBjjIosG4,本意是，本生小本，小本生意。——@KING-NEW-HX  ,,无,无,无,2023-04-10 10:29,橘色pop子HarmonyOS设备,263,7,36
MBhYg58Kw,钟表是时间的跑步机。——@一秒钟哲学家  ,,无,无,无,2023-04-10 07:03,橘色pop子HarmonyOS设备,493,31,30
MBdRQqq7N,碎片化时间原来是光阴四溅。——@一秒钟哲学家  ,,无,无,无,2023-04-09 20:36,橘色pop子HarmonyOS设备,469,52,19
MBcm62sqE,看来穿越时空并非不可能，刚刚我就在酒店碰上一个人自称大唐经理——@真不戳戳戳  ,,无,无,无,2023-04-09 16:46,橘色pop子HarmonyOS设备,581,23,44
MB4o9fHmR,提前下班小妙招：上班打卡后偷偷踹地球两脚加速自转速度。——@司徒pi德  ,,无,无,无,2023-04-08 20:29,橘色pop子HarmonyOS设备,784,31,42
MB37Hpsuj,这是今天的太阳，你去把它安在天上，你若安好，便是晴天。——@一秒钟哲学家  ,,无,无,无,2023-04-08 17:15,橘色pop子HarmonyOS设备,727,47,39
MB30cjetj,东西掉在地上了不能吃是因为有细菌上去了 那么抗菌素掉地上了捡起来还能吃吗？——@阿闪雷神农场主  ,,无,无,无,2023-04-08 16:57,橘色pop子HarmonyOS设备,506,8,37
MB2IR3P2F,卖炭翁吆喝：我们这都是数一数二的烧货——@GlassesJacketShirt  ,,无,无,无,2023-04-08 16:14,橘色pop子HarmonyOS设备,408,15,38
MB29HgmUb,修装备让装备恢复耐久，修狗让人类恢复耐久——@白色小药片儿  ,,无,无,无,2023-04-08 14:48,橘色pop子HarmonyOS设备,571,49,59
MB1WWqxCT,“你要洗澡吗？”“要洗！”“好啦我知道你会日语了。”——@AIPhenglove  ,,无,无,无,2023-04-08 14:16,橘色pop子HarmonyOS设备,878,39,46
MB1HJ1Umw,吕伯奢:家人们谁懂啊，今天逛街遇到下头男——@咕泳者  ,,无,无,无,2023-04-08 13:39,橘色pop子HarmonyOS设备,1032,46,51
MAV8fjDPE,西游剧组招募演员，忧郁的演神，爱笑的演精。——@谐霸  ,,无,无,无,2023-04-07 20:55,橘色pop子HarmonyOS设备,785,42,33
MASXb53DK,跟丢嫌犯的王警官无奈之下只能到银行挂失。——夏之空  ,,无,无,无,2023-04-07 15:22,橘色pop子HarmonyOS设备,339,7,29
MASLi7Byd,机器人老师上课，学生要背诵代码——@欣欣是美女w  ,,无,无,无,2023-04-07 14:53,橘色pop子HarmonyOS设备,347,3,23
MALQagOih,对垃圾说“你好垃圾” 到底是夸垃圾还是骂垃圾？——@冬虫夏夏草  ,,无,无,无,2023-04-06 21:15,橘色pop子HarmonyOS设备,1496,104,91
MAKbmftId,玩网游被GM封号，小李破口大骂：“这什么BGM！” ——@落不落字  ,,无,无,无,2023-04-06 17:02,橘色pop子HarmonyOS设备,847,19,62
MAICUAgHC,“我喜欢你。”“真的吗？！”“真的，我只对我喜欢的人说实话！”——@茶色如茵月华似水LunaSHiNE  ,,无,无,无,2023-04-06 13:05,橘色pop子HarmonyOS设备,2373,88,105
MAD45tORk,让网红测评网红食品不会徇私吗？——@一秒钟哲学家  ,,无,无,无,2023-04-05 22:55,橘色pop子HarmonyOS设备,445,7,20
MACDmmHgd,金窝、自己的狗窝，不如银窝——@靠谱队长  已,,无,无,无,2023-04-05 21:49,橘色pop子HarmonyOS设备,2071,107,121
MABWak40L,没有人小时候的梦想是不加班。——@一秒钟哲学家  ,,无,无,无,2023-04-05 20:03,橘色pop子HarmonyOS设备,646,47,39
MABh4xN4a,#弱智吧每周最佳# 2023年第3周，还是四选一1.既然明日何其多，为什么不把事情都放明日再做，今日可就只剩一天了。2.被送去做绝育的哈士奇愤怒地问大夫：“割本哈根？！！！”  3.古代中国人病了有中医治，法国人好可怜呀，只有法医。4.怎么我每次去医院医生都在那里，他是不是比我病得还严重？...全文 ,,无,无,无,2023-04-05 18:22,橘色pop子HarmonyOS设备,11413,78,137
MAAZkwjKn,沦为赌狗的藏獒有了个更威风的名字“獒败”。——@狂舞的金牛  ,,无,无,无,2023-04-05 17:38,橘色pop子HarmonyOS设备,1232,257,44
MAzXXz11t,色狼除了坐牢还应该割弟赔款。——@一秒钟哲学家  ,,无,无,无,2023-04-05 15:02,橘色pop子HarmonyOS设备,1213,26,37
MAzxDCaGl,为什么国足不行？因为擅长踢皮球的都在办公室。——@偷娱  ,,无,无,无,2023-04-05 13:57,橘色pop子HarmonyOS设备,1785,142,77
MAzeyax0r,上课时总担心吊扇掉下来把我的脑子削掉，但考完试我就放心了，原来我没有脑子。——@一秒钟哲学家  ,,无,无,无,2023-04-05 13:10,橘色pop子HarmonyOS设备,482,21,14
MAtw4478L,冤有头债有主，债老m了。——@一秒钟哲学家  已,,无,无,无,2023-04-04 22:36,橘色pop子HarmonyOS设备,360,14,21
MArQbdDeo,这个世界最王八蛋的地方，就是它明知道有人不会再醒来，但仍然照常升起明天的太阳。——@饭希fanxi  ,,无,无,无,2023-04-04 18:21,橘色pop子HarmonyOS设备,1410,96,95
MAro9ria3,老了，什么也干不了，给各位摆个晚年吧！——@一秒钟哲学家  ,,无,无,无,2023-04-04 17:11,橘色pop子HarmonyOS设备,212,1,12
MArl1zzh5,有些人真的挺无聊的，明明是他自己无聊，非说别人无聊。——@一秒钟哲学家  ,,无,无,无,2023-04-04 17:04,橘色pop子HarmonyOS设备,381,8,29
MAo4rF2kK,大快人心！我那讨人厌的舅舅终于被诛九族了——@真不戳戳戳  ,,无,无,无,2023-04-04 08:45,橘色pop子HarmonyOS设备,1146,22,41
MAkkhEw1L,伟大的沙皇陛下走进大殿，一众大臣欢呼：“看，大沙陛来了！”——@偷娱  ,,无,无,无,2023-04-03 23:13,橘色pop子HarmonyOS设备,1299,110,69
MAk2qwv1M,一辈子有多长，这是能让我思考一生的问题。——@偷娱  ,,无,无,无,2023-04-03 22:29,橘色pop子HarmonyOS设备,390,28,19
MAjDWyNNP,明星的绯闻有两种，一种会导致双厨狂喜，另一种会导致双厨狂洗。——@dogfar42467  ,,无,无,无,2023-04-03 21:28,橘色pop子HarmonyOS设备,614,20,15
MAjy6Bdil,每天躺着不动就能消耗一千多千卡 怪不得死人体重那么轻——@橘子拌芝士  ,,无,无,无,2023-04-03 21:14,橘色pop子HarmonyOS设备,333,6,17
MAhQ8ANgi,确诊抑郁症的我可能单纯只是快乐的无症状感染者——@幽箬筱  ,,无,无,无,2023-04-03 16:53,橘色pop子HarmonyOS设备,713,42,23
MAgMMsAH5,他们说我嘴欠，于是我还嘴了。 ——@偷娱  ,,无,无,无,2023-04-03 14:12,橘色pop子HarmonyOS设备,512,17,21
MAaaN5nnF,論文查重目的就是為了避免核廢水亂排。——@回涼州的稚然  ,,无,无,无,2023-04-02 21:22,橘色pop子HarmonyOS设备,185,3,23
MA8RpARA3,上天有好生之德，那就让它生好了。——@一秒钟哲学家  ,,无,无,无,2023-04-02 18:01,橘色pop子HarmonyOS设备,496,25,26
MA8FNdyVB,：大师，妖怪神通广大，何以克之？：我的法克！ ——@肉肉lin  ,,无,无,无,2023-04-02 17:33,橘色pop子HarmonyOS设备,237,11,17
MA8z59jFd,劣币驱逐良币，良币问劣币：“你是啥币？”——@活死人WokenDay  ,,无,无,无,2023-04-02 17:16,橘色pop子HarmonyOS设备,1096,167,54
MA8swfJpD,曲阜，也叫Chinese 孔府——@稗草遗章  ,,无,无,无,2023-04-02 17:00,橘色pop子HarmonyOS设备,558,10,34
MA6d6f6ba,小明因为过于有背景而沦为了背景板——@叭叭瓜  ,,无,无,无,2023-04-02 11:17,橘色pop子HarmonyOS设备,289,2,14
MA5XlBJkK,#弱智吧每周最佳# 2023年第2周，还是四选一1.因为害怕心理医生听我漫长的童年伤痛经历而睡着，我潜心学习单口相声2.中国人的性情是总喜欢调和折中。譬如你说：这屋子太暗，需要在这里开一个窗，大家一定不允许。但如果你说要拆掉屋顶，你的号就没了。3.善用短语可以凑字数，比如说比如说，还有就...全文 ,,无,无,无,2023-04-02 10:38,橘色pop子HarmonyOS设备,10753,107,174
MA2i1sjio,今天我升级为VIP6了  ,,无,无,无,2023-04-02 01:18,会员特权专用,96,1,30
MA0Lt0kor,“一方水土养一方人。”做人肉养殖的食人族企业家说道。——@上帝说尼采封了  ,,无,无,无,2023-04-01 21:25,橘色pop子HarmonyOS设备,332,6,30
MA0DL9pQ3,食人族商场推出高血糖友好标签“无打工人”——@抽了风的常疯  ,,无,无,无,2023-04-01 21:06,橘色pop子HarmonyOS设备,260,3,21
MzZr7tpv3,可以请我喝杯奶茶吗？不是我没有钱，而是……你买的不用我掏钱——@精神病患写的诗烟花绽放的节日  ,,无,无,无,2023-04-01 18:02,橘色pop子HarmonyOS设备,450,12,31
MzYoeiIKs,小明拿着数学题去问家长 “家人们，谁懂啊？”——@炒盘干煸藕丝  ,,无,无,无,2023-04-01 15:22,橘色pop子HarmonyOS设备,2397,143,59
MzXSdskvK,“我讨厌你！愚人节快乐！”会不会“愚人节快乐”才是那句谎话？——@一秒钟哲学家  ,,无,无,无,2023-04-01 14:03,橘色pop子HarmonyOS设备,482,53,18
MzUI9ytxC,#弱智吧每周最佳# 2023年第2周，还是四选一 2023年第2周  ,,无,无,无,2023-04-01 06:00,橘色pop子HarmonyOS设备,4004,29,103
MzRkhvDVr,现在是筛选能理解人类的AI将来是筛选能理解AI的人类——@这个名太没意思了  ,,无,无,无,2023-03-31 21:23,橘色pop子HarmonyOS设备,586,33,27
MzR0ZD636,收钱打假赛是不是卖赢？——@绣眼鸟军舰  ,,无,无,无,2023-03-31 20:36,橘色pop子HarmonyOS设备,321,6,18
MzQC4eZns,“刚才急诊推来的患者哪去了？”“他说身体不太舒服，我就让他先回去了。”——@张高端  ,,无,无,无,2023-03-31 19:34,橘色pop子HarmonyOS设备,1366,111,32
MzQunB6fv,为什么绝大多数博士生都是从硕士生里挑出来的，这算不算学历垄断？——@张高端  ,,无,无,无,2023-03-31 19:15,橘色pop子HarmonyOS设备,978,12,46
MzPd7Bkdd,“你怎么总在背地里说他坏话？”“因为我没法在背地里打他。”——@一秒钟哲学家  ,,无,无,无,2023-03-31 16:00,橘色pop子HarmonyOS设备,502,20,17
MzP5YCy1Z,我买衣服时的样子像极了贪官，主打一个和珅。——@冷了个冻  ,,无,无,无,2023-03-31 15:42,橘色pop子HarmonyOS设备,384,4,34
MzI0HrlqW,监考老师一把夺过小抄：那么小字眼睛不要啦。 ——@段子手郝师傅  已,,无,无,无,2023-03-30 21:40,橘色pop子HarmonyOS设备,843,21,34
MzGrJloiL,老师说双重否定表肯定，考上双非大学为什么没有获得肯定——@此路不通草球  ,,无,无,无,2023-03-30 17:41,橘色pop子HarmonyOS设备,1084,80,46
MzGgve0Ry,路边车上的落叶其实是树给违停车辆开的罚单——@猴子改了ID  ,,无,无,无,2023-03-30 17:14,橘色pop子HarmonyOS设备,948,48,52
MzFS9dVQ0,李白发诗：早发白帝城，晚发静夜思——@2k不忠实玩家  ,,无,无,无,2023-03-30 16:14,橘色pop子HarmonyOS设备,1124,83,62
MzFm92uW9,- 为什么说先人后己？- 因为我们的先人确实是后己(🐒)。——@谐霸  ,,无,无,无,2023-03-30 14:55,橘色pop子HarmonyOS设备,557,54,39
MzExDkrVq,“追得好啊！爸你接着追！”小明夸父逐日——@靓仔富贵爱萌萌  ,,无,无,无,2023-03-30 12:50,橘色pop子HarmonyOS设备,464,16,29
MzEh62rEz,伯乐，又名爱马仕——@靓仔富贵爱萌萌  ,,无,无,无,2023-03-30 12:10,橘色pop子HarmonyOS设备,718,40,37
MzxdmenQx,啄木鸟拒绝为苹果树就诊——@SRIFH  ,,无,无,无,2023-03-29 18:11,橘色pop子HarmonyOS设备,720,17,56
Mzx5RqQ6X,法国的工人罢工时在战斗，工作时在投降——@SRIFH  ,,无,无,无,2023-03-29 17:53,橘色pop子HarmonyOS设备,675,17,29
MzwO6tWLI,“老板你的鱼生怎么发苦啊！”“众生皆苦。”——@司徒pi德  ,,无,无,无,2023-03-29 17:09,橘色pop子HarmonyOS设备,525,12,38
MzwghjaEL,这是我们的主打产品，上面还有上帝的手印——@嚴觀無相  ,,无,无,无,2023-03-29 15:46,橘色pop子HarmonyOS设备,298,14,29
Mzw9nrR7P,春困秋乏夏打盹冬眠，所以人类不适合上班——@SRIFH  ,,无,无,无,2023-03-29 15:29,橘色pop子HarmonyOS设备,253,16,22
MzvLMwimd,#弱智吧每周最佳# 2023年第一周，2023年的评选开始了，今年已允许多选。1.给卖抗原的拍个电影叫《我不是原神》 2.梅西的阿根廷球衣都售罄了，那决赛那天梅西穿什么？ 3.“你这太阳保熟吗”“不熟，今天是生日” 4.李白如果告语文书侵权的话能赔不少钱吧 2023年第1周  ,,无,无,无,2023-03-29 14:30,橘色pop子HarmonyOS设备,6442,55,100
MzvDe7Yyf,梦到我搬家了，还好梦和现实是相反的，我加班了。——@果麦圈客郝武德  ,,无,无,无,2023-03-29 14:09,橘色pop子HarmonyOS设备,626,49,25
Mzvr8mxuX,#美国众议院要让中国当发达国家#中国是发达国家，美国是发哒哒哒哒哒哒国家。——@一秒钟哲学家  ,,无,无,无,2023-03-29 13:40,橘色pop子HarmonyOS设备,1277,43,59
MzvjrvqZA,明明是归来的奥特曼为什么带走了我的童年——@废人一条zzzwq  ,,无,无,无,2023-03-29 13:21,橘色pop子HarmonyOS设备,338,35,27
Mzo9dfXah,地质研究到底也就是地心——@默然夜  ,,无,无,无,2023-03-28 19:06,橘色pop子HarmonyOS设备,218,4,22
MznXDy8Ac,“我想和这个世界好好谈谈。”于是我发表了《与世长辞》。 ——@看氢不是青观测站  ,,无,无,无,2023-03-28 18:38,橘色pop子HarmonyOS设备,1311,161,42
MznHKFA99,被判了诛九族，无语了家人们。 ——@顾坪昕  ,,无,无,无,2023-03-28 17:58,橘色pop子HarmonyOS设备,2685,160,83
MzmWy38nk,裸聊也叫风险对冲 ——@冬眠国使者  ,,无,无,无,2023-03-28 16:02,橘色pop子HarmonyOS设备,348,14,17
Mzled6pFG,日本醉汉冲他喊“乾杯”，他吓疯了，甘拜下风。——@谐霸  ,,无,无,无,2023-03-28 11:40,橘色pop子HarmonyOS设备,590,8,42
MzgB6kZFq,下午下雨了，还好我是早上洗晒的被套。 ——@葵花籽和南瓜子  ,,无,无,无,2023-03-27 23:53,橘色pop子HarmonyOS设备,337,1,22
MzfaHzUPP,谣言止于智者，但是智者不入爱河，所以爱情里充满了谣言。 ——@叉烧包走私犯  ,,无,无,无,2023-03-27 20:15,橘色pop子HarmonyOS设备,1199,138,58
MzeKFiyha,大熊每次考试都是零分，一定是有哪里做得不对 ——@干炸咸鱼  ,,无,无,无,2023-03-27 19:11,橘色pop子HarmonyOS设备,460,3,26
Mzevv4qkT,敌敌畏看字面意思是不是用来治恐惧症的？ ——@SHRONH  ,,无,无,无,2023-03-27 18:34,橘色pop子HarmonyOS设备,266,10,28
Mze3E9IVd,黑钱也叫隐藏款。 ——@SHRONH  ,,无,无,无,2023-03-27 17:25,橘色pop子HarmonyOS设备,370,12,19
MzdpWq3vc,有的公司在训练有意识的AI有的公司在训练无意识的员工——夏之空  ,,无,无,无,2023-03-27 15:47,橘色pop子HarmonyOS设备,2108,342,49
MzdisaRC5,萧炎开斗气车被交警抓住——@美人驴战士  ,,无,无,无,2023-03-27 15:29,橘色pop子HarmonyOS设备,381,5,34
Mzd4XkMBE,缅北信号那么差怎么搞电信诈骗？去那的朋友从来都不回我消息。——@打开天窗说梦话L  ,,无,无,无,2023-03-27 14:55,橘色pop子HarmonyOS设备,943,17,36
MzcrPmvdf,熬夜会发胖是有科学依据的，根据能量守恒定律，睡眠质量下降的时候，身体的质量就会上升。——@一秒钟哲学家  ,,无,无,无,2023-03-27 13:19,橘色pop子HarmonyOS设备,410,15,29
Mz4uZ70FQ,北京食人族最爱吃什么？ “冰糖俘虏”——@冬虫夏夏草  ,,无,无,无,2023-03-26 17:05,橘色pop子HarmonyOS设备,612,10,53
Mz3XizBTC,我收养了猫的肉体，猫收养了我的灵魂。——@冷了个冻  ,,无,无,无,2023-03-26 15:42,橘色pop子HarmonyOS设备,3157,648,66
Mz37QclWp,梦里卖煎饼果子，纯纯的脑摊——@青矢唯  ,,无,无,无,2023-03-26 13:35,橘色pop子HarmonyOS设备,705,48,24
MyVAM0hrN,B站用户都在默守陈规。 ——@SHRONH  ,,无,无,无,2023-03-25 18:24,橘色pop子HarmonyOS设备,3884,372,66
MyVrvbQTJ,不论儿时回答老师喜欢的是哪种颜色，长大后大家都统一喜欢黄色。——@肉肉lin  ,,无,无,无,2023-03-25 18:02,橘色pop子HarmonyOS设备,501,13,24
MyTEwkZZI,土匪退休后进大学开了门强盗逻辑课。 ——@肉肉lin  ,,无,无,无,2023-03-25 13:28,橘色pop子HarmonyOS设备,181,11,19
MyTeS1X0b,杀人的时候不小心弄了一地碎尸，酒店以此为由不愿意退押金，该怎么维权？——夏之空  ,,无,无,无,2023-03-25 12:25,橘色pop子HarmonyOS设备,1440,24,61
MyRMZFCs3,淡定的使用完洗手间后，小兰整理好发型，对着隔壁马桶上的的尸体开始尖叫...——@Haru在回喵星的路上  ,,无,无,无,2023-03-25 08:44,微博网页版,840,6,31
MyOfOjRao,公司年会上表演千手观音的演员有俩没来，于是节目改名为996观音…——@Haru在回喵星的路上  ,,无,无,无,2023-03-24 23:44,微博网页版,1321,158,52
MyNR3f1L2,据考证，双头食人魔劫匪是裤袜自然选择的结果...——@Haru在回喵星的路上  ,,无,无,无,2023-03-24 22:43,微博网页版,230,9,18
MyNrSEMKT,我在大学旁边租了个门面开大学  这学生多 生意肯定好——@OsamigosdeNeymar  ,,无,无,无,2023-03-24 21:41,微博网页版,593,13,27
MyNdPhHVJ,交警把我拦下说我超速178，我很生气，明明是181！——@风吹过梢头  ,,无,无,无,2023-03-24 21:06,橘色pop子HarmonyOS设备,451,9,24
MyN2Iwilr,这位死于窒息的被害人死因是点开了杀手发给他的长达三小时的一口气看完XXX系列——@林克啊LINK  ,,无,无,无,2023-03-24 20:39,微博网页版,384,4,16
MyMDXobQi,想去迪士尼，但是人太多怎么办？ 等倒闭了再去——@篮排双料five  ,,无,无,无,2023-03-24 19:38,微博网页版,396,12,38
MyMeNfFGD,上联：俄罗斯方块 下联：美利坚泥格——@篮排双料five  ,,无,无,无,2023-03-24 18:36,微博网页版,942,33,63
MyLQreu9n,你以后就知道了，其实是等你知道就是以后了；等你长大就懂了，其实是等你懂了就长大了。——@安心漱  ,,无,无,无,2023-03-24 17:36,微博网页版,693,62,44
MyLrG8yXc,食人族拜年：提头来见！——@用户6104279745  ,,无,无,无,2023-03-24 16:35,微博网页版,124,0,16
MyL2V4OA0,如果现在有投机倒把罪，大家都得死，因为大家都是个机把。——@刘仁铖真不错  ,,无,无,无,2023-03-24 15:34,微博网页版,497,20,36
MyKE9EQyC,食人族最喜欢在过年串亲戚了，因为他们多嘴多舌。——@我着青衫赴青山BT  ,,无,无,无,2023-03-24 14:33,微博网页版,249,2,15
MyKdM8azC,两个近视眼接吻，眼镜：磕到了磕到了——@Chandler剧外女友  ,,无,无,无,2023-03-24 13:28,微博网页版,662,49,40
MyJP13kxz,夸一部恐怖片拍得很好也可以说全程尿点。——@卫宫切嗣厨  ,,无,无,无,2023-03-24 12:27,微博网页版,407,2,28
MyJpQyAYw,食人族酋长觉得今天的饭菜太素了，于是添上人煎——@Recovez  ,,无,无,无,2023-03-24 11:25,微博网页版,327,3,35
MyJ1vdrVL,“我怎么生了你这个白眼狼！”狼妈妈对得了白内障的狼宝宝说道。——@看到我在刷微博就提醒我去看文献  ,,无,无,无,2023-03-24 10:25,微博网页版,345,4,22
MyICJvTnF,我只能通过死记硬背来记住rote这个单词。——@看到我在刷微博就提醒我去看文献  ,,无,无,无,2023-03-24 09:24,微博网页版,602,18,30
MyIdYr2tF,专家研究发现犯罪行为大多数发生在晚上，故专家建议定居在太阳有助于减少犯罪——@睡了就不会饿  ,,无,无,无,2023-03-24 08:23,微博网页版,511,7,47
MyI2C1azC,早上起床之后刷了个牙，感觉不错，晚上打算二刷。——@叉烧包走私犯  ,,无,无,无,2023-03-24 07:55,微博网页版,519,15,18
MyDmsrBEM,考上了中戏却不去报道——戏中戏。——@超-威-蓝-猫  ,,无,无,无,2023-03-23 20:00,橘色pop子HarmonyOS设备,1316,30,31
MyCE1kTUx,为什么电话打久了手会酸？因为电话pHone。——@AIPhenglove  ,,无,无,无,2023-03-23 18:10,橘色pop子HarmonyOS设备,1846,242,67
MyBZHqTlh,小李，你精通黑话，现在组织决定派你前往非洲。——@段子手郝师傅  ,,无,无,无,2023-03-23 16:31,橘色pop子HarmonyOS设备,480,7,43
